,id,title,description,director,cast,rating
39,tt0102926,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Jodie Foster, 
Anthony Hopkins, 
Lawrence A. Bonney, 
Kasi Lemmons",8.6
40,tt0113277,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,Michael Mann,"Al Pacino, 
Robert De Niro, 
Val Kilmer, 
Jon Voight",8.3
41,tt0407887,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg",8.5
44,tt2278388,The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"Ralph Fiennes, 
F. Murray Abraham, 
Mathieu Amalric, 
Adrien Brody",8.1
46,tt0120689,The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"Tom Hanks, 
Michael Clarke Duncan, 
David Morse, 
Bonnie Hunt",8.6
48,tt5027774,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"Frances McDormand, 
Woody Harrelson, 
Sam Rockwell, 
Caleb Landry Jones",8.1
49,tt0071562,The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, 
Robert De Niro, 
Robert Duvall, 
Diane Keaton",9.0
52,tt0110413,Léon: The Professional,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello",8.5
56,tt0050083,12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, 
Lee J. Cobb, 
Martin Balsam, 
John Fiedler",9.0
59,tt0086250,Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma,"Al Pacino, 
Michelle Pfeiffer, 
Steven Bauer, 
Mary Elizabeth Mastrantonio",8.3
60,tt0066921,A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"Malcolm McDowell, 
Patrick Magee, 
Michael Bates, 
Warren Clarke",8.3
68,tt0114814,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"Kevin Spacey, 
Gabriel Byrne, 
Chazz Palminteri, 
Stephen Baldwin",8.5
73,tt0105236,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"Harvey Keitel, 
Tim Roth, 
Michael Madsen, 
Chris Penn",8.3
76,tt0118715,The Big Lebowski,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Joel Coen, 
Ethan Coen","Jeff Bridges, 
John Goodman, 
Julianne Moore, 
Steve Buscemi",8.1
78,tt0208092,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham, 
Brad Pitt, 
Stephen Graham, 
Vinnie Jones",8.2
80,tt0087843,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,"Robert De Niro, 
James Woods, 
Elizabeth McGovern, 
Treat Williams",8.3
81,tt0120586,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,"Edward Norton, 
Edward Furlong, 
Beverly D'Angelo, 
Jennifer Lien",8.5
92,tt0317248,City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Fernando Meirelles, 
Kátia Lund","Alexandre Rodrigues, 
Leandro Firmino, 
Matheus Nachtergaele, 
Phellipe Haagensen",8.6
95,tt0372784,Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,"Christian Bale, 
Michael Caine, 
Ken Watanabe, 
Liam Neeson",8.2
104,tt0266697,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen",8.2
107,tt2948356,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Byron Howard, 
Rich Moore, 
Jared Bush","Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate",8.0
108,tt0112641,Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,"Robert De Niro, 
Sharon Stone, 
Joe Pesci, 
James Woods",8.2
121,tt0116282,Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Joel Coen, 
Ethan Coen","William H. Macy, 
Frances McDormand, 
Steve Buscemi, 
Peter Stormare",8.1
122,tt1895587,Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber",8.1
138,tt15501640,Drishyam 2,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Abhishek Pathak,"Ajay Devgn, 
Akshaye Khanna, 
Tabu, 
Shriya Saran",8.3
150,tt0401792,Sin City,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","Frank Miller, 
Quentin Tarantino, 
Robert Rodriguez","Mickey Rourke, 
Clive Owen, 
Bruce Willis, 
Jessica Alba",8.0
164,tt0120735,"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,"Jason Flemyng, 
Dexter Fletcher, 
Nick Moran, 
Jason Statham",8.2
165,tt0070735,The Sting,Two grifters team up to pull off the ultimate con.,George Roy Hill,"Paul Newman, 
Robert Redford, 
Robert Shaw, 
Charles Durning",8.3
175,tt0353969,Memories of Murder,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"Song Kang-ho, 
Kim Sang-kyung, 
Roe-ha Kim, 
Jae-ho Song",8.1
188,tt0064115,Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,"Paul Newman, 
Robert Redford, 
Katharine Ross, 
Strother Martin",8.0
189,tt0119488,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,"Kevin Spacey, 
Russell Crowe, 
Guy Pearce, 
Kim Basinger",8.2
247,tt0378194,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,"Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah",8.0
250,tt1010048,Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Danny Boyle, 
Loveleen Tandan","Dev Patel, 
Freida Pinto, 
Saurabh Shukla, 
Anil Kapoor",8.0
259,tt4857264,The Invisible Guest,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,"Mario Casas, 
Ana Wagener, 
Jose Coronado, 
Bárbara Lennie",8.0
276,tt1954470,Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"Manoj Bajpayee, 
Nawazuddin Siddiqui, 
Tigmanshu Dhulia, 
Richa Chadha",8.2
286,tt0056592,To Kill a Mockingbird,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,"Gregory Peck, 
John Megna, 
Frank Overton, 
Rosemary Murphy",8.3
345,tt0109424,Chungking Express,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Kar-Wai Wong,"Brigitte Lin, 
Takeshi Kaneshiro, 
Tony Chiu-Wai Leung, 
Faye Wong",8.0
347,tt0276919,Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier,"Nicole Kidman, 
Paul Bettany, 
Lauren Bacall, 
Harriet Andersson",8.0
349,tt0156887,Perfect Blue,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,"Junko Iwao, 
Rica Matsumoto, 
Shinpachi Tsuji, 
Masaaki Ôkura",8.0
412,tt0113247,La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"Vincent Cassel, 
Hubert Koundé, 
Saïd Taghmaoui, 
Abdel Ahmed Ghili",8.1
417,tt0072890,Dog Day Afternoon,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Sidney Lumet,"Al Pacino, 
John Cazale, 
Penelope Allen, 
Sully Boyar",8.0
422,tt15546822,Mukundan Unni Associates,"Advocate Mukundan Unni, played by Vineeth Sreenivasan wants to be successful and leaves no stone unturned to achieve growth, prosperity, and respect. But this steadfast nature aided with an ample dose of greed comes with a cost.",Abhinav Sunder Nayak,"Vineeth Sreenivasan, 
Suraj Venjaramoodu, 
Arsha Baiju, 
Sudhi Koppa",8.0
437,tt14866108,Miranda's Victim,"In 1963, eighteen-year-old Patricia Weir is kidnapped and brutally raped. Committed to putting her attacker, Ernesto Miranda, in prison, Trish's life is destroyed by America's legal system as she triggers a law that transforms the nation.",Michelle Danner,"Abigail Breslin, 
Ryan Phillippe, 
Taryn Manning, 
Donald Sutherland",8.9
458,tt0061512,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,"Paul Newman, 
George Kennedy, 
Strother Martin, 
J.D. Cannon",8.1
512,tt0107207,In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,"Daniel Day-Lewis, 
Pete Postlethwaite, 
Alison Crosbie, 
Philip King",8.1
526,tt0022100,M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"Peter Lorre, 
Ellen Widmann, 
Inge Landgut, 
Otto Wernicke",8.3
554,tt0051201,Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,"Tyrone Power, 
Marlene Dietrich, 
Charles Laughton, 
Elsa Lanchester",8.4
565,tt4430212,Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"Ajay Devgn, 
Shriya Saran, 
Tabu, 
Rajat Kapoor",8.2
579,tt15464742,Kali Jotta,"Kali Jotta is an upcoming Punjabi movie scheduled to be released on 3 Feb, 2023. The movie is directed by Vijay Kumar Arora and will feature Neeru Bajwa, Satinder Sartaaj and Wamiqa Gabbi ...                See full summary »",Vijay Kumar Arora,"Satinder Sartaaj, 
Ankur Verma, 
Neeru Bajwa, 
Wamiqa Gabbi",8.9
590,tt0070511,Papillon,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.",Franklin J. Schaffner,"Steve McQueen, 
Dustin Hoffman, 
Victor Jory, 
Don Gordon",8.0
599,tt0033870,The Maltese Falcon,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",John Huston,"Humphrey Bogart, 
Mary Astor, 
Gladys George, 
Peter Lorre",8.0
630,tt0047296,On the Waterfront,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Elia Kazan,"Marlon Brando, 
Karl Malden, 
Lee J. Cobb, 
Rod Steiger",8.1
634,tt9179430,Vikram,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Lokesh Kanagaraj,"Kamal Haasan, 
Vijay Sethupathi, 
Fahadh Faasil, 
Narain",8.3
639,tt9900782,Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Lokesh Kanagaraj,"Karthi, 
Narain, 
Arjun Das, 
George Maryan",8.5
657,tt0048424,The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton,"Robert Mitchum, 
Shelley Winters, 
Lillian Gish, 
James Gleason",8.0
661,tt23490586,Amigos,"Plot revolves around the 2 Doppelgangers, Siddharth an entrepreneur and Manjunath a software engineer of the Gangster Michael.",Rajendra Reddy,"Nithin Prasanna, 
Nandamuri Kalyan Ram, 
Ashika Ranganath",8.1
685,tt0036775,Double Indemnity,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Billy Wilder,"Fred MacMurray, 
Barbara Stanwyck, 
Edward G. Robinson, 
Byron Barr",8.3
718,tt0042876,Rashomon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"Toshirô Mifune, 
Machiko Kyô, 
Masayuki Mori, 
Takashi Shimura",8.2
734,tt10698680,K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Prashanth Neel,"Yash, 
Sanjay Dutt, 
Raveena Tandon, 
Srinidhi Shetty",8.3
772,tt0070510,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich,"Ryan O'Neal, 
Tatum O'Neal, 
Madeline Kahn, 
John Hillerman",8.1
792,tt0046912,Dial M for Murder,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,"Ray Milland, 
Grace Kelly, 
Robert Cummings, 
John Williams",8.2
793,tt15097216,Jai Bhim,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"Suriya, 
Lijo Mol Jose, 
Manikandan K., 
Rajisha Vijayan",8.8
817,tt0053198,The 400 Blows,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,"Jean-Pierre Léaud, 
Albert Rémy, 
Claire Maurier, 
Guy Decomble",8.1
892,tt0338564,Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Andrew Lau, 
Alan Mak","Andy Lau, 
Tony Chiu-Wai Leung, 
Anthony Chau-Sang Wong, 
Eric Tsang",8.0
902,tt8108198,Andhadhun,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"Tabu, 
Ayushmann Khurrana, 
Radhika Apte, 
Anil Dhawan",8.2
1000,tt0052311,Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Orson Welles,"Charlton Heston, 
Orson Welles, 
Janet Leigh, 
Joseph Calleia",8.0
1013,tt0049406,The Killing,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Stanley Kubrick,"Sterling Hayden, 
Coleen Gray, 
Vince Edwards, 
Jay C. Flippen",8.0
1076,tt18748860,Adnan Kafazi,"As their city is occupied by a new organized crime boss, three local gangsters decide to return from Mexico and fight him in a mouse and cat game.",Genc Berisha,"Dukagjin Podrimaj, 
Olimpia Smajlaj, 
Fatmir Spahiu, 
Besart Sllamniku",9.5
1079,tt0057565,High and Low,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,"Toshirô Mifune, 
Yutaka Sada, 
Tatsuya Nakadai, 
Kyôko Kagawa",8.4
1104,tt3326138,The Last Deal,A black market marijuana dealer tries to make one final score before getting squeezed out of the business when cannabis becomes legal.,Jonathan Salemi,"Anthony Molinari, 
Sala Baker, 
Gigi Gustin, 
Mike Ferguson",8.5
1153,tt0861739,Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,"Wagner Moura, 
André Ramiro, 
Caio Junqueira, 
Milhem Cortaz",8.0
1182,tt6019206,Kill Bill: The Whole Bloody Affair,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",Quentin Tarantino,"Uma Thurman, 
Lucy Liu, 
Vivica A. Fox, 
Michael Madsen",8.8
1194,tt7838252,K.G.F: Chapter 1,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",Prashanth Neel,"Yash, 
Srinidhi Shetty, 
Ramachandra Raju, 
Archana Jois",8.2
1240,tt12361178,Drishyam 2,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Jeethu Joseph,"Mohanlal, 
Meena, 
Ansiba, 
Esther Anil",8.4
1247,tt0065234,Z,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Costa-Gavras,"Yves Montand, 
Irene Papas, 
Jean-Louis Trintignant, 
François Périer",8.2
1269,tt0097223,Time of the Gypsies,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,"Davor Dujmovic, 
Bora Todorovic, 
Ljubica Adzovic, 
Husnija Hasimovic",8.1
1351,tt11086194,Thankam,"Muthu (Biju Menon) and Kannan (Vineeth Sreenivasan) are Gold Agents from Thrissur, the Gold Capital of India. The movie portrays their travel to Mumbai to distribute gold and the following mishaps they face at their journey.","Saheed Arafath, 
Prinish Prabhakaran","Biju Menon, 
Vineeth Sreenivasan, 
Aparna Balamurali, 
Girish Kulkarni",8.3
1386,tt0039689,Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",Jacques Tourneur,"Robert Mitchum, 
Jane Greer, 
Kirk Douglas, 
Rhonda Fleming",8.0
1402,tt0062229,Le Samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Jean-Pierre Melville,"Alain Delon, 
François Périer, 
Nathalie Delon, 
Cathy Rosier",8.0
1481,tt10280296,Sardar Udham,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,"Vicky Kaushal, 
Shaun Scott, 
Stephen Hogan, 
Amol Parashar",8.4
1576,tt0118843,"Black Cat, White Cat",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,"Bajram Severdzan, 
Srdjan 'Zika' Todorovic, 
Branka Katic, 
Florijan Ajdini",8.0
1578,tt0101985,A Brighter Summer Day,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.",Edward Yang,"Chang Chen, 
Lisa Yang, 
Kuo-Chu Chang, 
Elaine Jin",8.3
1592,tt0100234,Close-Up,"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",Abbas Kiarostami,"Hossain Sabzian, 
Mohsen Makhmalbaf, 
Abolfazl Ahankhah, 
Mehrdad Ahankhah",8.2
1625,tt0046911,Diabolique,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Henri-Georges Clouzot,"Simone Signoret, 
Véra Clouzot, 
Paul Meurisse, 
Charles Vanel",8.1
1778,tt4934950,Talvar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,"Irrfan Khan, 
Konkona Sen Sharma, 
Neeraj Kabi, 
Sohum Shah",8.1
1800,tt0042041,White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Raoul Walsh,"James Cagney, 
Virginia Mayo, 
Edmond O'Brien, 
Margaret Wycherly",8.1
1816,tt13878694,Maarrich,A police official starts a wild goose chase to find a murderer. The journey unfolds deep dark secrets from the past which leads to a spine chilling face off in the finale,Dhruv Lather,"Tusshar Kapoor, 
Chelsha Gosai, 
Aakash Dahiya, 
Rahul Dev",8.2
1843,tt0054248,Rocco and His Brothers,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",Luchino Visconti,"Alain Delon, 
Renato Salvatori, 
Annie Girardot, 
Claudia Cardinale",8.2
1845,tt10324144,Article 15,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Anubhav Sinha,"Ayushmann Khurrana, 
Nassar, 
Manoj Pahwa, 
Kumud Mishra",8.1
1885,tt0405508,Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"Aamir Khan, 
Soha Ali Khan, 
Siddharth, 
Sharman Joshi",8.1
1945,tt3390572,Haider,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,"Shahid Kapoor, 
Tabu, 
Shraddha Kapoor, 
Kay Kay Menon",8.0
1981,tt1261047,Gulaal,"A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.",Anurag Kashyap,"Kay Kay Menon, 
Raj Singh Chaudhary, 
Raja Chaudhary, 
Jesse Randhawa",8.0
1985,tt1555149,Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,"Wagner Moura, 
Irandhir Santos, 
André Ramiro, 
Milhem Cortaz",8.0
1988,tt0041546,Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Robert Hamer,"Dennis Price, 
Alec Guinness, 
Valerie Hobson, 
Joan Greenwood",8.0
2033,tt0195231,Satya,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,Ram Gopal Varma,"J.D. Chakravarthi, 
Manoj Bajpayee, 
Urmila Matondkar, 
Paresh Rawal",8.3
2054,tt7060344,Raatchasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,"Vishnu Vishal, 
Amala Paul, 
Radha Ravi, 
Sangili Murugan",8.3
2060,tt0063633,The Cremator,"Set in Central Europe during World War II, a demented cremator believes cremation relieves earthly suffering and sets out to save the world.",Juraj Herz,"Rudolf Hrusínský, 
Vlasta Chramostová, 
Jana Stehnová, 
Milos Vognic",8.0
2092,tt1280558,A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Neeraj Pandey,"Anupam Kher, 
Naseeruddin Shah, 
Veerendra Saxena, 
Mahesh Kanual",8.1
