,id,title,description,director,cast,rating
17,tt1201607,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon",8.1
19,tt0093779,The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,"Cary Elwes, 
Mandy Patinkin, 
Robin Wright, 
Chris Sarandon",8.0
26,tt0245429,Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi",8.6
28,tt4633694,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",8.4
31,tt0110357,The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Roger Allers, 
Rob Minkoff","Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg",8.5
41,tt0382932,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Brad Bird, 
Jan Pinkava","Brad Garrett, 
Lou Romano, 
Patton Oswalt, 
Ian Holm",8.1
45,tt2948356,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Byron Howard, 
Rich Moore, 
Jared Bush","Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate",8.0
49,tt0114709,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,"Tom Hanks, 
Tim Allen, 
Don Rickles, 
Jim Varney",8.3
50,tt2096673,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Pete Docter, 
Ronnie Del Carmen","Amy Poehler, 
Bill Hader, 
Lewis Black, 
Mindy Kaling",8.2
55,tt0347149,Howl's Moving Castle,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,"Chieko Baisho, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa",8.2
56,tt2380307,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Lee Unkrich, 
Adrian Molina","Anthony Gonzalez, 
Gael García Bernal, 
Benjamin Bratt, 
Alanna Ubach",8.4
59,tt0059742,The Sound of Music,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,"Julie Andrews, 
Christopher Plummer, 
Eleanor Parker, 
Richard Haydn",8.1
65,tt0910970,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,"Ben Burtt, 
Elissa Knight, 
Jeff Garlin, 
Fred Willard",8.4
66,tt0032138,The Wizard of Oz,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Victor Fleming, 
George Cukor, 
Mervyn LeRoy, 
Norman Taurog, 
Richard Thorpe, 
King Vidor","Judy Garland, 
Frank Morgan, 
Ray Bolger, 
Bert Lahr",8.1
67,tt1049413,Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Pete Docter, 
Bob Peterson","Edward Asner, 
Jordan Nagai, 
John Ratzenberger, 
Christopher Plummer",8.3
68,tt0317705,The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,"Craig T. Nelson, 
Samuel L. Jackson, 
Holly Hunter, 
Jason Lee",8.0
71,tt0266543,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Andrew Stanton, 
Lee Unkrich","Albert Brooks, 
Ellen DeGeneres, 
Alexander Gould, 
Willem Dafoe",8.2
85,tt0198781,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Pete Docter, 
David Silverman, 
Lee Unkrich","Billy Crystal, 
John Goodman, 
Mary Gibbs, 
Steve Buscemi",8.1
87,tt0892769,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Dean DeBlois, 
Chris Sanders","Jay Baruchel, 
Gerard Butler, 
Christopher Mintz-Plasse, 
Craig Ferguson",8.1
88,tt2948372,Soul,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Pete Docter, 
Kemp Powers","Jamie Foxx, 
Tina Fey, 
Graham Norton, 
Rachel House",8.0
91,tt0101414,Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Gary Trousdale, 
Kirk Wise","Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart",8.0
99,tt0038650,It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"James Stewart, 
Donna Reed, 
Lionel Barrymore, 
Thomas Mitchell",8.6
104,tt0103639,Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Ron Clements, 
John Musker","Scott Weinger, 
Robin Williams, 
Linda Larkin, 
Jonathan Freeman",8.0
106,tt0435761,Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Ned Beatty",8.3
133,tt1028532,Hachi: A Dog's Tale,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,"Richard Gere, 
Joan Allen, 
Cary-Hiroyuki Tagawa, 
Sarah Roemer",8.1
148,tt13528122,iMordecai,"A Holocaust survivor, born and raised in a different time, must face the realities of modern world. When confronted with an unfamiliar object, an iPhone, will Mordecai be able to fit into a world that has changed so much around him?",Marvin Samel,"Judd Hirsch, 
Carol Kane, 
Sean Astin, 
Nick Puga",8.4
156,tt0096283,My Neighbor Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,"Hitoshi Takagi, 
Noriko Hidaka, 
Chika Sakamoto, 
Shigesato Itoi",8.1
233,tt0067093,Fiddler on the Roof,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.",Norman Jewison,"Topol, 
Norma Crane, 
Leonard Frey, 
Molly Picon",8.0
264,tt0129167,The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"Eli Marienthal, 
Harry Connick Jr., 
Jennifer Aniston, 
Vin Diesel",8.1
390,tt0092067,Castle in the Sky,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Hayao Miyazaki,"Mayumi Tanaka, 
Keiko Yokozawa, 
Kotoe Hatsui, 
Minori Terada",8.0
396,tt4729430,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Sergio Pablos, 
Carlos Martínez López","Jason Schwartzman, 
J.K. Simmons, 
Rashida Jones, 
Will Sasso",8.2
411,tt0986264,Like Stars on Earth,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Aamir Khan, 
Amole Gupte","Darsheel Safary, 
Aamir Khan, 
Tisca Chopra, 
Vipin Sharma",8.3
413,tt7236034,I Want to Eat Your Pancreas,"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments.",Shin'ichirô Ushijima,"Mahiro Takasugi, 
Lynn, 
Yukiyo Fujii, 
Yuma Uchida",8.0
457,tt5198068,Wolfwalkers,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,"Tomm Moore, 
Ross Stewart","Honor Kneafsey, 
Eva Whittaker, 
Sean Bean, 
Simon McBurney",8.0
542,tt0118849,Children of Heaven,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,"Mohammad Amir Naji, 
Amir Farrokh Hashemian, 
Bahare Seddiqi, 
Nafise Jafar-Mohammadi",8.2
617,tt0012349,The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,"Charles Chaplin, 
Edna Purviance, 
Jackie Coogan, 
Carl Miller",8.3
626,tt2576852,The Tale of The Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,"Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden",8.0
649,tt1865505,Song of the Sea,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Tomm Moore,"David Rawle, 
Brendan Gleeson, 
Lisa Hannigan, 
Fionnula Flanagan",8.0
716,tt24225212,Mechamato Movie,"After a mysterious spaceship crash landed on Earth, a boy named Amato came across a powerful robot named MechaBot. By outsmarting MechaBot and becoming its master, Amato can now utilize ...                See full summary »",Nizam Razak,"Armand Ezra, 
Muhamad Noradzlan Mohamad Nazir, 
Ielham Iskandar, 
Fadzli Mohd Rawi",8.0
730,tt2140203,Wolf Children,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Mamoru Hosoda,"Aoi Miyazaki, 
Takao Osawa, 
Haru Kuroki, 
Yukito Nishii",8.1
803,tt0476735,My Father and My Son,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak,"Çetin Tekindor, 
Fikret Kuskan, 
Hümeyra, 
Ege Tanman",8.2
