,id,title,description,director,cast,rating
838,tt0871510,Let's Go! India,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,"Shah Rukh Khan, 
Vidya Malvade, 
Sagarika Ghatge, 
Shilpa Shukla",8.1
943,tt0093342,Where Is the Friend's House?,"Eight-year-old Ahmed has mistakenly taken his friend Mohammad's notebook. He wants to return it, or else his friend will be expelled from school. The boy determinedly sets out to find Mohammad's home in the neighbouring village.",Abbas Kiarostami,"Babek Ahmed Poor, 
Ahmed Ahmed Poor, 
Khodabakhsh Defaei, 
Iran Outari",8.1
955,tt25436804,Congratulations,"Aditya marries his college girlfriend Ragini who wants to have a kid but Aditya is not mentally ready to be a parent. After a miscarriage and delivering a stillborn, Ragini cannot conceive ...                See full summary »",Rehan Chaudhary,"Sharman Joshi, 
Manasi Parekh, 
Jayesh Barbhaya, 
Ami Bhayani",8.9
1011,tt0044008,A Christmas Carol,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve he will be visited by three spirits who will show him the errors of his ways.",Brian Desmond Hurst,"Alastair Sim, 
Jack Warner, 
Kathleen Harrison, 
Mervyn Johns",8.1
1073,tt15399616,Ayisha,"Migrating to a Gulf country to become a domestic worker for an elite Arab family, Ayisha slowly learns all the palace etiquette. An interesting course of events lead to the bloom of a beautiful bond between Mama and Ayisha.",Aamir Pallikkal,"Manju Warrier, 
Latheefa, 
S.V. Krishna Shankar, 
Ram Bruise",9.6
1076,tt10472884,Rascal Does Not Dream of a Dreaming Girl,A high school student's blissful days with his girlfriend are interrupted when his first crush returns in two forms.,Sôichi Masui,"Kaito Ishikawa, 
Asami Seto, 
Inori Minase, 
Nao Tôyama",8.2
1151,tt12885338,How I Learned to Fly,"A family story as seen through a girl's eyes. It explores that particularly interesting moment of life when childhood is at it's end and new, exciting times begin.",Radivoje Andric,"Klara Hrvanovic, 
Olga Odanovic, 
Snjezana Sinovcic, 
Zarko Lausevic",8.2
1162,tt0028691,Captains Courageous,"A spoiled brat who falls overboard from a steamship in the 1920s gets picked up by a New England fishing boat, where he's made to earn his keep by joining the crew in their work.",Victor Fleming,"Spencer Tracy, 
Freddie Bartholomew, 
Lionel Barrymore, 
Melvyn Douglas",8.0
1215,tt0038190,A Tree Grows in Brooklyn,"Encouraged by her idealistic if luckless father, a bright and imaginative young woman comes of age in a Brooklyn tenement during the early 1900s.",Elia Kazan,"Dorothy McGuire, 
Joan Blondell, 
James Dunn, 
Lloyd Nolan",8.0
1225,tt0018773,The Circus,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,"Charles Chaplin, 
Merna Kennedy, 
Al Ernest Garcia, 
Harry Crocker",8.1
1287,tt0093132,Hachi-ko,"The true story about a dog's loyalty to its master, even after his death.",Seijirô Kôyama,"Tatsuya Nakadai, 
Kaoru Yachigusa, 
Toshinori Omi, 
Toshirô Yanagiba",8.0
1352,tt13711200,Momo in Dubai,"A lower middle class family, where the man, despite his financial hardships, brings his wife and children to live with him in the UAE. It looks at their struggles, but is a mix of poignant and happy moments.",Ameen Aslam,"Johny Antony, 
Albert Gayo, 
Aneesh Menon, 
Najin",9.5
1397,tt0073000,The Pinchcliffe Grand Prix,Reodor Felgen decides that he will enter a car race to defeat his former friend who has stolen his plans for a car.,Ivo Caprino,"Wenche Foss, 
Per Theodor Haugen, 
Harald Heide-Steen Jr., 
Leif Juster",8.4
1398,tt0191043,The Color of Paradise,"The story of Mohammed, a blind Iranian boy and his father, Hashem, who is always oscillating between accepting his son as he is and abandoning him, as he represents a burden for him, after the loss of his wife.",Majid Majidi,"Hossein Mahjoub, 
Mohsen Ramezani, 
Salameh Feyzi, 
Farahnaz Safari",8.2
1498,tt16274720,Save Christmas,Grumpy Dad dislikes Christmas while mum and kids strive to save Santa from animated villain's captivity through solving 8 digital riddles.,Kristoph Tassin,"Richard Dreyfuss, 
Judd Nelson, 
Lorenzo McGovern Zaini, 
Nathan Cooper",9.1
1697,tt0018742,The Cameraman,"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire.","Edward Sedgwick, 
Buster Keaton","Buster Keaton, 
Marceline Day, 
Harold Goodwin, 
Sidney Bracey",8.0
1873,tt0253779,Süt Kardesler,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is ...                See full summary »",Ertem Egilmez,"Kemal Sunal, 
Sener Sen, 
Halit Akçatepe, 
Hale Soygazi",8.9
1879,tt0131636,The Little Fox,"Famous, great hunters, better stay away, here comes Vuk! (They say he is cunning as a fox!)",Attila Dargay,"Judit Pogány, 
József Gyabronka, 
Teri Földi, 
Gyula Szabó",8.3
1916,tt0335159,Home Along da Riles 2,"Kevin (Dolphy) and his family suddenly find themselves prospective millionaires. What happens when they move into a bigger house and leave their real ""home along da riles""?",Efren Jarlego,"Dolphy, 
Claudine Barretto, 
Nova Villa, 
Rico Yan",8.0
1922,tt10751150,Pardoned by Grace,"The life of Scott Highberger, a Michigan City, Indiana pastor. Before he practiced religion he was strung out. Once an Drug addict, alcoholic, and recidivist. Now doing gods work. This is ...                See full summary »",Kevan Otto,"Colton Adams, 
Daniel Ball, 
Jaclyn Beissel, 
Jay Birky",9.7
1952,tt11225228,Titina,Embark on the extraordinary polar adventure,Kajsa Næss,"Jan Gunnar Røise, 
Kåre Conradi, 
Anne Marit Jacobsen, 
John F. Brungot",8.1
1985,tt13149968,Tu Hovein Main Hovan,"While one couple is falling in love, on the other hand another couple are on the verge of their divorce. Will their journey make their bond stronger?",Vakil Singh,"Sajjan Adeeb, 
Delbar Arya, 
Dinesh Arya, 
Darshan Aulakh",9.0
2014,tt3180664,Yajamana,Story of a family of four brothers. A modern day take on the classic Ramayana.,"Radha Bharathi, 
Sheshadri","Vishnuvardhan, 
Prema, 
Shashikumar, 
Avinash",8.3
2026,tt23476218,Kung Fu Leeuw,"The 14-year-old Jimmy is a fanatic, strong and one of his school's best Kung Fu students. As the roster of the new lion dance team is put together, Jimmy sees his dream of dancing in the ...                See full summary »",Froukje Tan,"Tyrell Williams, 
Haye Lee, 
Kar-Yung Lau, 
Senna Rijsdijk",8.7
2040,tt1572781,The Disappearance of Haruhi Suzumiya,"A week before Christmas, Kyon wakes up in a world where the SOS Brigade doesn't exist. Mikuru and Yuki don't recognize him, and Haruhi and Itsuki seem to have vanished.","Tatsuya Ishihara, 
Yasuhiro Takemoto","Aya Hirano, 
Tomokazu Sugita, 
Minori Chihara, 
Yûko Gotô",8.0
2044,tt9020536,Ejen Ali: The Movie,"After being accidentally recruited as a spy, 12-year-old Ejen Ali has now grown to embrace his role in secret agency Meta Advance Tactical Agency (MATA) to protect the futuristic city of Cyberaya from outside threats.",Muhammad Usamah Zaid,"Altimet, 
Amir Bamer, 
Fadhli, 
Abu Shafian Abd Hamid",8.0
2076,tt1961211,Boy with Blue,Blind tragedy strikes the Orton family but a painful revelation opens their eyes to redemption.,David Liddell Thorpe,"David H. Stevens, 
Kymberly Mellen, 
Ben Isaacs, 
Heidi Smith",8.7
2181,tt3607198,Punjab 1984,"During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist.",Anurag Singh,"Diljit Dosanjh, 
Kirron Kher, 
Pawan Malhotra, 
Sonam Bajwa",8.4
2193,tt0249964,Sirivennela,"Sirivennela is a 1986 Indian Telugu film, directed by K. Vishwanath and Produced by Ch. Ramakrishna Reddy, N. Bhaskara Reddy and Ujjuri Chinaveerraju. The film stars Suhasini, Sarvadaman ...                See full summary »",K. Viswanath,"Sarvadaman Banerjee, 
Moon Moon Sen, 
Suhasini, 
Samyuktha",8.0
2208,tt23897324,Lucky Lakshman,A youngster who experiences personal upheavals in his family and love life and how he deals with them and emerges successful.,Abhi Ar,"Ameen, 
Anurag, 
Kadambari Kiran, 
Sridevi Kumar",8.2
2257,tt11318336,Raymo,"Revanth Deshpande is a rich kid but doesn't depend on his father's money. He is a rockstar who goes by the name Raymo. Soon, he meets Mohana and they fall in love. Will their love be successful?",Pawan Wadeyar,"Rajesh Nataranga, 
Ishaan, 
Achyuth Kumar, 
Madhoo",8.1
2326,tt21309170,Chhalla Mud Ke Nahi Aaya,"Looking to earn money for his family, a young man in the early 1900s travels to Canada to join a small group of fellow Punjabis working in a lumber mill. While there, the men face difficult...                See full summary »",Amrinder Gill,"Amrinder Gill, 
Sargun Mehta, 
Sydney Eberwein, 
Binnu Dhillon",8.0
2332,tt0068257,Bawarchi,A dysfunctional middle-class family is transformed due to the influence of their new multi-talented household servant - but he might be too good to be true.,Hrishikesh Mukherjee,"Rajesh Khanna, 
Jaya Bachchan, 
Usha Kiran, 
Harindranath Chattopadhyay",8.1
2378,tt0249936,Saptapadhi,"Somayajulu, an orthodox high-priest of a village temple weds his grand-daughter Hema to his grand-son Gaurinatha, also a priest by profession, without realising that she is in love with ...                See full summary »",K. Viswanath,"J.V. Somayajulu, 
Sabitha Bhamidipati, 
Girish, 
Allu Ramalingaiah",8.2
2380,tt0059855,Havoc in Heaven,"Sun Wukong, the King of the Monkeys, sets off on his first adventure to gain a worthy weapon. This earns the attention of the Jade Emperor of Heaven.","Wan Laiming, 
Cheng Tang","Yue-Feng Qiu, 
Run-Sheng Fu, 
Hans Alfredson, 
Ke Bi",8.1
2399,tt5914774,Pitong kabang palay,"A farmer's son witnesses the daily struggles of their family, leading to realizations that strengthen his resolve.",Maricel Cariaga,"Arnold Reyes, 
Sue Prado, 
Micko Laurente, 
Miel Espinoza",8.8
2487,tt6042648,A Second Chance,"Three teen girls, all from single parent homes and from the wrong side of the tracks, commit numerous crimes against an elderly woman. But when they face a tough family court judge, their punishment doesn't seem to fit their crimes.","Candy J. Beard, 
Daniel Beard","Dakota Bruton, 
Maria Guerra, 
Morgan Danielle McKervey, 
Juli Tapken",8.6
2512,tt0462699,Conan the Future Boy: The Big Giant Robot's Resurrection,"In the future, some humans build a spaceship to abandon earth. The spaceship crashed in an island isolated from the rest of the world. The story takes place when there are only 2 survivors ...                See full summary »",Hayao Miyazaki,"Noriko Ohara, 
Mieko Nobusawa, 
Kazuyo Aoki, 
Iemasa Kayumi",8.3
2543,tt0090109,Swathi Muthyam,"The story is of mentally slow man, whose life is recapped to his grand-daughter. How he meets his wife (who was a widow), earns his living and fights the injustice he and his wife face.",K. Viswanath,"Kamal Haasan, 
Radhika Sarathkumar, 
Allu Arjun, 
Sarath Babu",8.5
2575,tt0072190,Sonar Kella,"A young boy becomes a target for crooks, after he claims to remember his past life and mentions precious jewels in a golden fortress.",Satyajit Ray,"Soumitra Chatterjee, 
Santanu Bagchi, 
Ajoy Banerjee, 
Haradhan Bannerjee",8.4
2637,tt15264532,Ratnan Prapancha,"The tale of Ratnakara, an average middle class guy in his late twenties, who is stuck in a house with his mother, Saroja. Just when things couldn't get any worse, Ratnakara gets a phone call that turns his life upside down.",Rohith Padaki,"Dhananjaya, 
Umashree, 
Shruti, 
Anu Prabhakar",8.5
2669,tt0401452,Haba-baba-doo! Puti-puti-poo!,"Two men were going on a job at the house sitting and take care of the 7 children, who created chaos against them. Meanwhile, the landlady always give warnings to the children and men as she makes a task for it.",Efren Jarlego,"Babalu, 
Redford White, 
Princess Punzalan, 
Paolo Contis",8.2
2680,tt0179955,Cat City,"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have ...                See full summary »",Béla Ternovszky,"Miklós Benedek, 
Gyula Bodrogi, 
Ilona Béres, 
Péter Haumann",8.3
2718,tt11492862,Ekda Kaay Zala,"A passionate storyteller believes that anything under the sky can be conveyed through a story. The film talks about the inseparable father-son bond, parenting, kids and their thinking process.",Saleel Kulkarni,"Sumeet Raghavan, 
Urmilla Kanetkar Kothare, 
Arjun Purnapatre, 
Mohan Agashe",8.0
2722,tt0187178,Jagadeka Veerudu Athiloka Sundari,A man finds a ring that gives the bearer great power but the goddess to whom the ring belongs wants it back.,K. Raghavendra Rao,"Chiranjeevi, 
Sridevi, 
Tanikella Bharani, 
Brahmanandam",8.1
2745,tt3555534,The Singing Pond,"One day, a new teacher, Uma, arrives at a primary school in a remote little village in Sri Lanka. With Uma's help, her little pupils learn not to be afraid of dreaming big. One morning, ...                See full summary »",Indika Ferdinando,"Jagath Chamila, 
Jayani Senanayake, 
Dayadewa Edirisinghe, 
Hyacinth Wijeratne",8.6
2751,tt0765833,Neseli Günler,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,Orhan Aksoy,"Münir Özkul, 
Adile Nasit, 
Sener Sen, 
Aysen Gruda",8.7
2782,tt21387380,Kacchey Limbu,Siblings on competing cricket teams struggle to balance family and team loyalties.,Shubham Yogi,"Rajat Barmecha, 
Radhika Madan, 
Ayush Mehra",8.1
2850,tt15546534,Zack: Enfrentamiento Mortal,"Zack wanders through an unknown place. His only clue is a valuable diamond. As Zack flees from ""13,"" he seeks to unveil his past and the secret of the diamond, embarking on a journey into the unknown during which he must fight to survive.",Joseph Lando,"Joseph Lando, 
Rosina Grosso, 
Blas Sien Diaz, 
Ingrid Marie Rivera",8.2
2854,tt0063023,Goopy Gyne Bagha Byne,"Goopy wants to sing, and Bagha wants to play the dhol. They meet accidentally and are helped by King of Ghosts. With newly endowed abilities, they land in kingdom of Shundi, where their adventure begins.",Satyajit Ray,"Tapan Chatterjee, 
Rabi Ghosh, 
Ajoy Banerjee, 
Iva Banerjee",8.7
2878,tt11474750,Dhakad Chhora,A fearless boy who falls in love with a Muslim girl who studies with him and does not want both of his family to be together.,Dinesh Chaudhary,"Uttar Kumar, 
Suman Negi, 
Kalpana Chauhwan, 
Santram Banjara",8.9
2916,tt21288778,Gandhada Gudi,"An epic musical celebration of India's blessed land, precious culture and incredible stories at an unprecedented scale, complete with songs and the beauty of nature.",Amoghavarsha,"Puneeth Rajkumar, 
Amoghavarsha",9.4
2917,tt5005684,Nil Battey Sannata,A story about a single woman (a Mom) and dreams on her Daughter.,Ashwiny Iyer Tiwari,"Swara Bhaskar, 
Riya Shukla, 
Ratna Pathak Shah, 
Pankaj Tripathi",8.2
2922,tt2823386,The 4 Corners,An intimate group of family and friends face life changing decisions over the course of one important weekend,Lee Basquin,"Karla Hernandez, 
Marilyn Miller, 
Mario DeAngelis, 
Jason Steadman",8.6
2942,tt21937802,Toldi - Movie,"At the medieval Hungary Toldi, an impulsive stripling, commits a careless murder and is forced to go into hiding. The film follows him on a journey full of adventures and intrigue between brothers, until he finally faces the great test.","Marcell Jankovics, 
Lajos Csákovics",Tamás Széles,8.0
2960,tt2150209,My Grandfather's People,"Grandpapa and his family were torn from their land, forced to migrate from Crete during the population exchange when he was just seven years old. Grands greatest desire is to see the land ...                See full summary »",Çagan Irmak,"Çetin Tekindor, 
Yigit Özsener, 
Gökçe Bahadir, 
Sacide Tasaner",8.0
2977,tt0268282,The Elm-Chanted Forest,"A painter who can temporarily talk to the creatures of an enchanted forest must help them stop the evil Cactus King, who's building an army of magical living weapons and machines to turn the forest into a wasteland perfect for the cacti.","Milan Blazekovic, 
Doro Vlado Hreljanovic","Josip Marotti, 
Vili Matula, 
Ljubo Kapor, 
Emil Glad",8.0
2982,tt8593290,Nanjundi Kalyana,A young man changes his identity to marry his aunt's daughter to resolve the problems between their two families.,M.S. Rajashekar,"Raghavendra Rajkumar, 
Malasri, 
Balaraj, 
Dheerendra Gopal",8.1
3015,tt13123076,Toy Story 3 in Real Life,"8 years ago, two brothers set out to explore filmmaking by recreating their favorite film. The following is the product of that endeavor.","Mason McGrew, 
Morgan McGrew","Shannon Archer, 
Ethan Bauer, 
Abby Lint, 
Emma Love",8.4
3068,tt0087731,S certy nejsou zerty,"Petr's greedy stepmother steals everything from her stepson. Meanwhile, Petr meets two daughters of a local duke. He falls in love with one of them, but she is very proud and Petr means ...                See full summary »",Hynek Bocan,"Vladimír Dlouhý, 
Ondrej Vetchý, 
Jana Dítetová, 
Josef Kemr",8.1
3121,tt7560484,Gauru: Journey of Courage,"It's a story of a shepherd grandson how he fulfills his grandmother's last wish, who has never been to her native village after marriage.",Ramkishan Choyal,"Nandram Anand, 
Ila Arun, 
Ashok Banthia, 
Ajay Karan Joshi",8.4
3136,tt5311546,Natsamrat,"After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",Mahesh Manjrekar,"Nana Patekar, 
Medha Manjrekar, 
Mrunmayee Deshpande, 
Sunil Barve",8.8
3207,tt0399911,Yaara Dildara,A lonely son of a rich industrialist falls in love with a poor girl but life won't be easy for him without his mother's consent. A local goon is also deeply in love with the same girl.,"H.M. Mirza, 
Mahrukh Mirza, 
Shahrukh Mirza","Aashif Sheikh, 
Ruchika Panday, 
Rohini Hattangadi, 
Amjad Khan",8.0
