,id,title,tags
26,tt0245429,Spirited Away,"['During', 'her', ""family's"", 'move', 'to', 'the', 'suburbs,', 'a', 'sullen', '10-year-old', 'girl', 'wanders', 'into', 'a', 'world', 'ruled', 'by', 'gods,', 'witches,', 'and', 'spirits,', 'and', 'where', 'humans', 'are', 'changed', 'into', 'beasts.', 'DaveighChase', 'SuzannePleshette', 'MiyuIrino', 'RumiHiiragi', 'HayaoMiyazaki']"
28,tt4633694,Spider-Man: Into the Spider-Verse,"['Teen', 'Miles', 'Morales', 'becomes', 'the', 'Spider-Man', 'of', 'his', 'universe,', 'and', 'must', 'join', 'with', 'five', 'spider-powered', 'individuals', 'from', 'other', 'dimensions', 'to', 'stop', 'a', 'threat', 'for', 'all', 'realities.', 'ShameikMoore', 'JakeJohnson', 'HaileeSteinfeld', 'MahershalaAli', 'BobPersichetti', 'PeterRamsey', 'RodneyRothman']"
29,tt0085334,A Christmas Story,"['In', 'the', '1940s,', 'a', 'young', 'boy', 'named', 'Ralphie', 'Parker', 'attempts', 'to', 'convince', 'his', 'parents,', 'teacher,', 'and', 'Santa', 'Claus', 'that', 'a', 'Red', 'Ryder', 'Range', '200', 'Shot', 'BB', 'gun', 'really', 'is', 'the', 'perfect', 'Christmas', 'gift.', 'PeterBillingsley', 'MelindaDillon', 'DarrenMcGavin', 'ScottSchwartz', 'BobClark']"
30,tt0373889,Harry Potter and the Order of the Phoenix,"['With', 'their', 'warning', 'about', 'Lord', ""Voldemort's"", 'return', 'scoffed', 'at,', 'Harry', 'and', 'Dumbledore', 'are', 'targeted', 'by', 'the', 'Wizard', 'authorities', 'as', 'an', 'authoritarian', 'bureaucrat', 'slowly', 'seizes', 'power', 'at', 'Hogwarts.', 'DanielRadcliffe', 'EmmaWatson', 'RupertGrint', 'BrendanGleeson', 'DavidYates']"
31,tt0110357,The Lion King,"['Lion', 'prince', 'Simba', 'and', 'his', 'father', 'are', 'targeted', 'by', 'his', 'bitter', 'uncle,', 'who', 'wants', 'to', 'ascend', 'the', 'throne', 'himself.', 'MatthewBroderick', 'JeremyIrons', 'JamesEarlJones', 'WhoopiGoldberg', 'RogerAllers', 'RobMinkoff']"
32,tt0926084,Harry Potter and the Deathly Hallows: Part 1,"['As', 'Harry,', 'Ron', 'and', 'Hermione', 'race', 'against', 'time', 'and', 'evil', 'to', 'destroy', 'the', 'Horcruxes,', 'they', 'uncover', 'the', 'existence', 'of', 'the', 'three', 'most', 'powerful', 'objects', 'in', 'the', 'wizarding', 'world:', 'the', 'Deathly', 'Hallows.', 'DanielRadcliffe', 'EmmaWatson', 'RupertGrint', 'BillNighy', 'DavidYates']"
33,tt0126029,Shrek,"['A', 'mean', 'lord', 'exiles', 'fairytale', 'creatures', 'to', 'the', 'swamp', 'of', 'a', 'grumpy', 'ogre,', 'who', 'must', 'go', 'on', 'a', 'quest', 'and', 'rescue', 'a', 'princess', 'for', 'the', 'lord', 'in', 'order', 'to', 'get', 'his', 'land', 'back.', 'MikeMyers', 'EddieMurphy', 'CameronDiaz', 'JohnLithgow', 'AndrewAdamson', 'VickyJenson']"
34,tt0317219,Cars,"['On', 'the', 'way', 'to', 'the', 'biggest', 'race', 'of', 'his', 'life,', 'a', 'hotshot', 'rookie', 'race', 'car', 'gets', 'stranded', 'in', 'a', 'rundown', 'town,', 'and', 'learns', 'that', 'winning', ""isn't"", 'everything', 'in', 'life.', 'OwenWilson', 'BonnieHunt', 'PaulNewman', 'LarrytheCableGuy', 'JohnLasseter', 'JoeRanft']"
36,tt0417741,Harry Potter and the Half-Blood Prince,"['As', 'Harry', 'Potter', 'begins', 'his', 'sixth', 'year', 'at', 'Hogwarts,', 'he', 'discovers', 'an', 'old', 'book', 'marked', 'as', '""the', 'property', 'of', 'the', 'Half-Blood', 'Prince""', 'and', 'begins', 'to', 'learn', 'more', 'about', 'Lord', ""Voldemort's"", 'dark', 'past.', 'DanielRadcliffe', 'EmmaWatson', 'RupertGrint', 'MichaelGambon', 'DavidYates']"
37,tt3521164,Moana,"['In', 'Ancient', 'Polynesia,', 'when', 'a', 'terrible', 'curse', 'incurred', 'by', 'the', 'Demigod', 'Maui', 'reaches', ""Moana's"", 'island,', 'she', 'answers', 'the', ""Ocean's"", 'call', 'to', 'seek', 'out', 'the', 'Demigod', 'to', 'set', 'things', 'right.', ""Auli'iCravalho"", 'DwayneJohnson', 'RachelHouse', 'TemueraMorrison', 'RonClements', 'JohnMusker', 'DonHall', 'ChrisWilliams']"
