,id,title,description,director,cast,rating
2,tt6710474,Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Dan Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan",8.0
9,tt13539646,The Wandering Earth II,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",Frant Gwo,"Andy Lau, 
Zina Blahusova, 
Jing Wu, 
Clara Lee",8.0
11,tt0816692,Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy",8.6
14,tt1160419,Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac",8.0
18,tt1375666,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",8.8
19,tt10872600,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",8.2
20,tt4154796,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",8.4
24,tt1856101,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista",8.0
25,tt0133093,The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, 
Lilly Wachowski","Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving",8.7
34,tt0088763,Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,"Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Crispin Glover",8.5
35,tt0482571,The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Christian Bale, 
Hugh Jackman, 
Scarlett Johansson, 
Michael Caine",8.5
36,tt0107290,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,"Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough",8.2
38,tt0338013,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,"Jim Carrey, 
Kate Winslet, 
Tom Wilkinson, 
Gerry Robert Byrne",8.3
46,tt2015381,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,"Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana",8.0
