,id,title,description,director,cast,rating
17458,tt6524276,Billy's Got a Bad Brain,Billy's got a bad brain - and he's not afraid to use it.,Tony Gaud,"Marvin LaViolette, 
Jennifer Ashley Snow, 
Helen Keaney, 
John Jacobs",8.2
17566,tt12451380,Chhupam Chhaai,"In a small town in the heart of India, six teenage friends who secretly run ""Friends Private Detective Agency,"" encounter their most challenging case; a murder mystery.",Pratik Mittal,"Akshat Jain, 
Sanket Chauhan, 
Anshu Khatri, 
Purva Bhawsar",8.5
17567,tt12842808,Rumah Pasung,"Ryan, Sultan and Mayang are the crew for the tv program. One day Ryan has to attend the funeral of his biological father. Ryan's parents unmask Ryan's past. Ryan is adopted son. Ryan's father left a house for him.",Nayato Fio Nuala,"Wafda Saifan Lubis, 
Kenny Mayang Sari, 
Stefan William, 
Natasha Wilona",8.7
17857,tt12211638,Kathah Vichitrah,"Sana, a young girl, about to be married to Karan, a businessman. One night, when Sana is home alone, she feels the presence of a supernatural power around her. The story takes a twist when ...                See full summary »",Anup Antony,"Harry Correa, 
Sri Harshavardhan, 
Anu Poovamma",8.1
17882,tt17158438,Presa Nocturna,"A Murderer named ""The Umbrella Man"" starts killing one person per night in a town called ""Jalos"" A Detective must stop this nightmare next to the Commander of the town, who nobody trusts.",Miguel Angel Pérez,"Miguel Angel Ramírez, 
Anthony Jiménez, 
Cecilia Suárez, 
Aalan Kingnbear",9.4
17883,tt2346094,Girls on a Boat,"Girls On A Boat is a feature film about four female dancers embarking on a spooky vacation. Miss Red's new boyfriend, Jerry Finklestein, invites her and her three friends to the famous Boat...                See full summary »",Vio Rafael,"Theo Crisell, 
Liana Delmar, 
Sarah Hummert, 
Sophie Mazzaro",9.5
17912,tt20848732,Unknown Strangers,A cannibalistic serial killer adapts to life in the zombie apocalypse.,Chris Pinkston,"Marcus Allen, 
Jacques Bridges, 
Tina DeNerring, 
Patricia Flanagan",8.4
18008,tt1479220,E.T. is Estong Tutong,Estong (Chiquito) was living a simple life when Teresa (Pia Moran) came. Teresa under his custody was at first easy until the reality about her true identity drove both of them to a world ...                See full summary »,Angel Labra,"Chiquito, 
Pia Moran, 
Anna Marin, 
Paquito Diaz",8.1
18051,tt4282670,Feast,A group of savage cannibal brothers must change their survival plan when one of their victims turns out to be smarter than they are.,"Timothy Van Mieghem, 
Nathan Waters","Shannon Brown, 
Ricky Lee Barnes, 
Chris Van Mieghem, 
Devon Carson",8.1
18063,tt11436686,St. Patrick's Day,Wearing green won't save you in this throwback to slasher films of the 1980s.,Jared Campbell,"Sky Brady, 
John Felix, 
Raven Stone, 
Isaac Yarborough",8.6
18136,tt5644498,At the End of the Tunnel,"After a near death experience, a man becomes a born again Christian; when he wants to sell a memoir based on his rebirth, an ex girlfriend threatens to expose a damning secret; he must decide to take action, or just pray she doesn't tell.",Claire Wasmund,"Fernando Noor, 
Katelyn Causey, 
Bill Watterson, 
Crystal Porter Bazemore",8.0
18263,tt4270046,The Crocodile,"After a series of deadly crocodile attacks, a farmer decides to become a crocodile hunter.",Mao Ayom,"Dy Saveth, 
Sam Solika, 
Preap Sovath",8.1
18394,tt1671536,666: The Beginning of the End,"Father Michele Stivoli, an Italian catholic priest on a journey of confusion, pain and terror which leads him on a collision course with the Antichrist himself.",Alexa Makky,"Federico Dordei, 
Steve Wilcox, 
Gabriela Sosa, 
Claudia Garcia",8.8
18407,tt0467114,Valentina,THE SERPENT-HAIRED VIXEN SOWS FEAR AND TERROR AMONG THE TOWNSPEOPLE AND CITE DWELLERS ALIKE.,Santiago Garcia,"Melissa Perez, 
Luis Gonzales, 
Marita Zobel, 
Dexter Doria",8.7
18505,tt2410638,Anima Sola,"The film is based in the Saint Anima Sola, Lonely Soul, present in several gospels of Christianity. Anima Sola represents the souls in purgatory that require the assistance of both the ...                See full summary »",Roberto Jabor,"Luana Arah, 
Isabela Bittar, 
Gabriel Canella, 
Leandro Caris",8.2
18567,tt4992238,Innocent Prayer,A little girl who is tortured by her parents follow the footstep of a serilal killer to run away from her reality.,Tôru Kamei,B.B. Gorô,8.8
18630,tt2673726,An Inappropriate Affect,"The new patient at Elm County Hospital is something of a celebrity. He wants out, but his mental health, or lack thereof - is an investment.",Russ Martin,"Mike Duff, 
Ariel Pacheco, 
Christian Rozakis, 
Sal Rendino",8.8
18642,tt6809132,The Abandoned II,"Gamal AbuElhassan disappears in an abandoned palace by abnormal forces, his brother try to find him with the young author of horror stories and his friend, and they find out that this strange palace is possessed by evil powers.",Hossam Shady,"Mohamed Elkassar, 
Tarek Fawzy, 
Belal Nasser, 
Hossam Shady",8.3
18800,tt13892914,Jengka,"It tells the story of Nini who is pregnant and asks her husband, Basir to send her back to her village in Jengka, Pahang to give birth to a child","Ramdan Che Hassan, 
Nyon Othman","Raja Azery, 
Eyka Farhana, 
Riezman Khuzaimi, 
Tamer Qamhiya",8.2
18815,tt22336852,Riyaa,"The story is about 5 characters who have a dream of becoming great musicians. To accomplish this, they look for a peaceful place to work on their music.",Vijaya Naresh,"Swetha Dharwad, 
Savithri Krishna, 
Vilas Kulkarni, 
Vikas MR",9.4
18834,tt15503170,The Ghosts of Somerville: Mrs. Micks,"First in this film series of hauntings in this historic town. Found dead in her attic, eaten by her cats, Mrs. Micks makes her presence known to people living in her house, with witnesses' accounts and opinions by a psychic expert.",Brian Vadim,"Cat Conway, 
Phil Husbands, 
Nikki Steward, 
Matt Unger",8.3
18862,tt7082238,And Then It Goes Dark,Two people stay at Historic Elm Springs in order to rehearse for their upcoming film only to find that they are not alone.,Austin Cook,"Abbi Butler, 
Austin Cook",8.0
18888,tt2195474,Misogyny,A young man is forever altered by the women life puts in his path.,Robert Berg,"Charlie Lowrey, 
Caitlin Tomlinson, 
Andrew Seaward, 
Tom Auclair",8.1
18895,tt7509632,The Witch hour: Curse of the ring,"Sameer along with his girlfriend Natasha and business partner Vikrant land up in a house during a field trip. A strange women visit their house and gifts Natasha a cursed ring,which leads to a horrible chain of events in the house !!.",Anjanikumar Tripathi,"Nitin Bhatia, 
Prateek Dubey, 
Saira Khan, 
Zareena Tripathi",8.0
18909,tt13091802,Eihwaz,Three friends take a vacation in the Swedish wilderness. Unaware of what ancient horror that awaits them.,Axel Rydén,"Jonathan Tufvesson, 
Andreas Gauffin, 
Isabelle Pedone, 
Marcus Frahm",8.9
18918,tt16435174,Over-Ride 'Narc - Island',As a Super Empath is laying in wait on a Caribbean island he is witness to see two of his [Narcissistic] long-time friends and coworkers stealing right from under him. He fed them and their...                See full summary »,Fragrance Francique,"Dexter Joseph, 
Michaiah Williams, 
David Ambrose, 
Iyjah Peters",8.0
18959,tt2991474,The Vampire,"A local news journalist named Zelene begins investigating a bizarre case of animal cruelty, and in turn uncovers something not quite human.",Geoffrey Orlowski,"Alissa Scherb, 
Rebecca C. Kasek, 
Mark Needham, 
Mu-Shaka Benson",8.8
19012,tt0213512,Bhargavi Nilayam,An enthusiastic and talented novelist (Madhu) comes to stay in a desolate mansion named Bhargavi Nilayam. The novelist and his servant Cheriya Pareekkanni (Adoor Bhasi) experience the ...                See full summary »,A. Vincent,"Madhu, 
Vijaya Nirmala, 
Prem Nazir, 
P.J. Anthony",8.1
19073,tt2837654,Signal Lost,"In the spring of 2012, a group of five students venture into the forests of Central Florida to film a documentary about a group of modern day gypsies. Very soon, what they come to realize ...                See full summary »",Tim Gallagher,"Jordan Babcock, 
Tara Briggs, 
Jessi Dupree-Cross, 
Tim Gallagher",8.0
